"Int32","String","String","Int32","Int32","String","Int32","Int32","Int32"
0,"SAKURAKO_0103BS","F_SAKURAKO_0103BS.png",-17,-510,"SAKURAKO_0103AK.spm",1,-1,-1
0,"SAKURAKO_0103FK","F_SAKURAKO_0103FK.png",-17,-510,"SAKURAKO_0103AK.spm",2,-1,-1
0,"SAKURAKO_0103FK2","F_SAKURAKO_0103FK2.png",-17,-510,"SAKURAKO_0103AK.spm",3,-1,-1
0,"SAKURAKO_0103IK","F_SAKURAKO_0103IK.png",-17,-510,"SAKURAKO_0103AK.spm",4,-1,-1
0,"SAKURAKO_0103IK2","F_SAKURAKO_0103IK2.png",-17,-510,"SAKURAKO_0103AK.spm",5,-1,-1
0,"SAKURAKO_0103IK3","F_SAKURAKO_0103IK3.png",-17,-510,"SAKURAKO_0103AK.spm",6,-1,-1
0,"SAKURAKO_0103KM","F_SAKURAKO_0103KM.png",-17,-510,"SAKURAKO_0103AK.spm",7,-1,-1
0,"SAKURAKO_0103KS","F_SAKURAKO_0103KS.png",-17,-510,"SAKURAKO_0103AK.spm",8,-1,-1
0,"SAKURAKO_0103KT","F_SAKURAKO_0103KT.png",-17,-510,"SAKURAKO_0103AK.spm",9,-1,-1
0,"SAKURAKO_0103NK","F_SAKURAKO_0103NK.png",-17,-510,"SAKURAKO_0103AK.spm",10,-1,-1
0,"SAKURAKO_0103NK2","F_SAKURAKO_0103NK2.png",-17,-510,"SAKURAKO_0103AK.spm",11,-1,-1
0,"SAKURAKO_0103NO","F_SAKURAKO_0103NO.png",-17,-510,"SAKURAKO_0103AK.spm",12,-1,-1
0,"SAKURAKO_0103NO2","F_SAKURAKO_0103NO2.png",-17,-510,"SAKURAKO_0103AK.spm",13,-1,-1
0,"SAKURAKO_0103NO3","F_SAKURAKO_0103NO3.png",-17,-510,"SAKURAKO_0103AK.spm",14,-1,-1
0,"SAKURAKO_0103NS","F_SAKURAKO_0103NS.png",-17,-510,"SAKURAKO_0103AK.spm",15,-1,-1
0,"SAKURAKO_A101AK","F_SAKURAKO_0101AK.png",5,-516,"SAKURAKO_A101AK.spm",0,-1,-1
0,"SAKURAKO_A101AK2","F_SAKURAKO_0101AK2.png",5,-516,"SAKURAKO_A101AK.spm",1,-1,-1
0,"SAKURAKO_A101AZ","F_SAKURAKO_0101AZ.png",5,-516,"SAKURAKO_A101AK.spm",2,-1,-1
0,"SAKURAKO_A101BE","F_SAKURAKO_0101BE.png",5,-516,"SAKURAKO_A101AK.spm",3,-1,-1
0,"SAKURAKO_A101BE2","F_SAKURAKO_0101BE2.png",5,-516,"SAKURAKO_A101AK.spm",4,-1,-1
0,"SAKURAKO_A101EG","F_SAKURAKO_0101EG.png",5,-516,"SAKURAKO_A101AK.spm",5,-1,-1
0,"SAKURAKO_A101KN","F_SAKURAKO_0101KN.png",5,-516,"SAKURAKO_A101AK.spm",6,-1,-1
0,"SAKURAKO_A101KS","F_SAKURAKO_0101KS.png",5,-516,"SAKURAKO_A101AK.spm",7,-1,-1
0,"SAKURAKO_A101KS2","F_SAKURAKO_0101KS2.png",5,-516,"SAKURAKO_A101AK.spm",8,-1,-1
0,"SAKURAKO_A101NK","F_SAKURAKO_0101NK.png",5,-516,"SAKURAKO_A101AK.spm",9,-1,-1
0,"SAKURAKO_A101NK2","F_SAKURAKO_0101NK2.png",5,-516,"SAKURAKO_A101AK.spm",10,-1,-1
0,"SAKURAKO_A101NK3","F_SAKURAKO_0101NK3.png",5,-516,"SAKURAKO_A101AK.spm",11,-1,-1
0,"SAKURAKO_A101NK4","F_SAKURAKO_0101NK4.png",5,-516,"SAKURAKO_A101AK.spm",12,-1,-1
0,"SAKURAKO_A101NO","F_SAKURAKO_0101NO.png",5,-516,"SAKURAKO_A101AK.spm",13,-1,-1
0,"SAKURAKO_A101NS","F_SAKURAKO_0101NS.png",5,-516,"SAKURAKO_A101AK.spm",14,-1,-1
0,"SAKURAKO_A101TR","F_SAKURAKO_0101TR.png",5,-516,"SAKURAKO_A101AK.spm",15,-1,-1
0,"SAKURAKO_A101TR2","F_SAKURAKO_0101TR2.png",5,-516,"SAKURAKO_A101AK.spm",16,-1,-1
0,"SAKURAKO_A101TR3","F_SAKURAKO_0101TR3.png",5,-516,"SAKURAKO_A101AK.spm",17,-1,-1
0,"SAKURAKO_A101TR4","F_SAKURAKO_0101TR4.png",5,-516,"SAKURAKO_A101AK.spm",18,-1,-1
0,"SAKURAKO_A102AD","F_SAKURAKO_0102AD.png",2,-510,"SAKURAKO_A102AD.spm",0,-1,-1
0,"SAKURAKO_A102AK","F_SAKURAKO_0102AK.png",2,-510,"SAKURAKO_A102AD.spm",1,-1,-1
0,"SAKURAKO_A102AS","F_SAKURAKO_0102AS.png",2,-510,"SAKURAKO_A102AD.spm",2,-1,-1
0,"SAKURAKO_A102AS2","F_SAKURAKO_0102AS2.png",2,-510,"SAKURAKO_A102AD.spm",3,-1,-1
0,"SAKURAKO_A102EG","F_SAKURAKO_0102EG.png",2,-510,"SAKURAKO_A102AD.spm",4,-1,-1
0,"SAKURAKO_A102EG2","F_SAKURAKO_0102EG2.png",2,-510,"SAKURAKO_A102AD.spm",5,-1,-1
0,"SAKURAKO_A102IK","F_SAKURAKO_0102IK.png",2,-510,"SAKURAKO_A102AD.spm",6,-1,-1
0,"SAKURAKO_A102IK2","F_SAKURAKO_0102IK2.png",2,-510,"SAKURAKO_A102AD.spm",7,-1,-1
0,"SAKURAKO_A102IK3","F_SAKURAKO_0102IK3.png",2,-510,"SAKURAKO_A102AD.spm",8,-1,-1
0,"SAKURAKO_A102IK4","F_SAKURAKO_0102IK4.png",2,-510,"SAKURAKO_A102AD.spm",9,-1,-1
0,"SAKURAKO_A102IK5","F_SAKURAKO_0102IK5.png",2,-510,"SAKURAKO_A102AD.spm",10,-1,-1
0,"SAKURAKO_A102IK6","F_SAKURAKO_0102IK6.png",2,-510,"SAKURAKO_A102AD.spm",11,-1,-1
0,"SAKURAKO_A102IK7","F_SAKURAKO_0102IK7.png",2,-510,"SAKURAKO_A102AD.spm",12,-1,-1
0,"SAKURAKO_A102IK8","F_SAKURAKO_0102IK8.png",2,-510,"SAKURAKO_A102AD.spm",13,-1,-1
0,"SAKURAKO_A102KB","F_SAKURAKO_0102KB.png",2,-510,"SAKURAKO_A102AD.spm",14,-1,-1
0,"SAKURAKO_A102KM","F_SAKURAKO_0102KM.png",2,-510,"SAKURAKO_A102AD.spm",15,-1,-1
0,"SAKURAKO_A102KM2","F_SAKURAKO_0102KM2.png",2,-510,"SAKURAKO_A102AD.spm",16,-1,-1
0,"SAKURAKO_A102KM3","F_SAKURAKO_0102KM3.png",2,-510,"SAKURAKO_A102AD.spm",17,-1,-1
0,"SAKURAKO_A102KM4","F_SAKURAKO_0102KM4.png",2,-510,"SAKURAKO_A102AD.spm",18,-1,-1
0,"SAKURAKO_A102KM5","F_SAKURAKO_0102KM5.png",2,-510,"SAKURAKO_A102AD.spm",19,-1,-1
0,"SAKURAKO_A102NO","F_SAKURAKO_0102NO.png",2,-510,"SAKURAKO_A102AD.spm",20,-1,-1
0,"SAKURAKO_A102NO2","F_SAKURAKO_0102NO2.png",2,-510,"SAKURAKO_A102AD.spm",21,-1,-1
0,"SAKURAKO_A102NO3","F_SAKURAKO_0102NO3.png",2,-510,"SAKURAKO_A102AD.spm",22,-1,-1
0,"SAKURAKO_A102NO4","F_SAKURAKO_0102NO4.png",2,-510,"SAKURAKO_A102AD.spm",23,-1,-1
0,"SAKURAKO_A102NO5","F_SAKURAKO_0102NO5.png",2,-510,"SAKURAKO_A102AD.spm",24,-1,-1
0,"SAKURAKO_A102NR","F_SAKURAKO_0102NR.png",2,-510,"SAKURAKO_A102AD.spm",25,-1,-1
0,"SAKURAKO_A102TR","F_SAKURAKO_0102TR.png",2,-510,"SAKURAKO_A102AD.spm",26,-1,-1
0,"SAKURAKO_A103AK","F_SAKURAKO_0103AK.png",-17,-510,"SAKURAKO_A103AK.spm",0,-1,-1
0,"SAKURAKO_A103BS","F_SAKURAKO_0103BS.png",-17,-510,"SAKURAKO_A103AK.spm",1,-1,-1
0,"SAKURAKO_A103FK","F_SAKURAKO_0103FK.png",-17,-510,"SAKURAKO_A103AK.spm",2,-1,-1
0,"SAKURAKO_A103FK2","F_SAKURAKO_0103FK2.png",-17,-510,"SAKURAKO_A103AK.spm",3,-1,-1
0,"SAKURAKO_A103IK","F_SAKURAKO_0103IK.png",-17,-510,"SAKURAKO_A103AK.spm",4,-1,-1
0,"SAKURAKO_A103IK2","F_SAKURAKO_0103IK2.png",-17,-510,"SAKURAKO_A103AK.spm",5,-1,-1
0,"SAKURAKO_A103IK3","F_SAKURAKO_0103IK3.png",-17,-510,"SAKURAKO_A103AK.spm",6,-1,-1
0,"SAKURAKO_A103KM","F_SAKURAKO_0103KM.png",-17,-510,"SAKURAKO_A103AK.spm",7,-1,-1
0,"SAKURAKO_A103KS","F_SAKURAKO_0103KS.png",-17,-510,"SAKURAKO_A103AK.spm",8,-1,-1
0,"SAKURAKO_A103KT","F_SAKURAKO_0103KT.png",-17,-510,"SAKURAKO_A103AK.spm",9,-1,-1
0,"SAKURAKO_A103NK","F_SAKURAKO_0103NK.png",-17,-510,"SAKURAKO_A103AK.spm",10,-1,-1
0,"SAKURAKO_A103NK2","F_SAKURAKO_0103NK2.png",-17,-510,"SAKURAKO_A103AK.spm",11,-1,-1
0,"SAKURAKO_A103NO","F_SAKURAKO_0103NO.png",-17,-510,"SAKURAKO_A103AK.spm",12,-1,-1
0,"SAKURAKO_A103NO2","F_SAKURAKO_0103NO2.png",-17,-510,"SAKURAKO_A103AK.spm",13,-1,-1
0,"SAKURAKO_A103NO3","F_SAKURAKO_0103NO3.png",-17,-510,"SAKURAKO_A103AK.spm",14,-1,-1
0,"SAKURAKO_A103NS","F_SAKURAKO_0103NS.png",-17,-510,"SAKURAKO_A103AK.spm",15,-1,-1
0,"SAKURAKO_0201AK","F_SAKURAKO_0201AK.png",5,-516,"SAKURAKO_0201AK.spm",0,-1,-1
0,"SAKURAKO_0201AK2","F_SAKURAKO_0201AK2.png",5,-516,"SAKURAKO_0201AK.spm",1,-1,-1
0,"SAKURAKO_0201AZ","F_SAKURAKO_0201AZ.png",5,-516,"SAKURAKO_0201AK.spm",2,-1,-1
0,"SAKURAKO_0201BE","F_SAKURAKO_0201BE.png",5,-516,"SAKURAKO_0201AK.spm",3,-1,-1
0,"SAKURAKO_0201BE2","F_SAKURAKO_0201BE2.png",5,-516,"SAKURAKO_0201AK.spm",4,-1,-1
0,"SAKURAKO_0201EG","F_SAKURAKO_0201EG.png",5,-516,"SAKURAKO_0201AK.spm",5,-1,-1
0,"SAKURAKO_0201KN","F_SAKURAKO_0201KN.png",5,-516,"SAKURAKO_0201AK.spm",6,-1,-1
0,"SAKURAKO_0201KS","F_SAKURAKO_0201KS.png",5,-516,"SAKURAKO_0201AK.spm",7,-1,-1
0,"SAKURAKO_0201KS2","F_SAKURAKO_0201KS2.png",5,-516,"SAKURAKO_0201AK.spm",8,-1,-1
0,"SAKURAKO_0201NK","F_SAKURAKO_0201NK.png",5,-516,"SAKURAKO_0201AK.spm",9,-1,-1
0,"SAKURAKO_0201NK2","F_SAKURAKO_0201NK2.png",5,-516,"SAKURAKO_0201AK.spm",10,-1,-1
0,"SAKURAKO_0201NK3","F_SAKURAKO_0201NK3.png",5,-516,"SAKURAKO_0201AK.spm",11,-1,-1
0,"SAKURAKO_0201NK4","F_SAKURAKO_0201NK4.png",5,-516,"SAKURAKO_0201AK.spm",12,-1,-1
0,"SAKURAKO_0201NO","F_SAKURAKO_0201NO.png",5,-516,"SAKURAKO_0201AK.spm",13,-1,-1
0,"SAKURAKO_0201NS","F_SAKURAKO_0201NS.png",5,-516,"SAKURAKO_0201AK.spm",14,-1,-1
0,"SAKURAKO_0201TR","F_SAKURAKO_0201TR.png",5,-516,"SAKURAKO_0201AK.spm",15,-1,-1
0,"SAKURAKO_0201TR2","F_SAKURAKO_0201TR2.png",5,-516,"SAKURAKO_0201AK.spm",16,-1,-1
0,"SAKURAKO_0201TR3","F_SAKURAKO_0201TR3.png",5,-516,"SAKURAKO_0201AK.spm",17,-1,-1
0,"SAKURAKO_0201TR4","F_SAKURAKO_0201TR4.png",5,-516,"SAKURAKO_0201AK.spm",18,-1,-1
0,"SAKURAKO_0202AD","F_SAKURAKO_0202AD.png",2,-510,"SAKURAKO_0202AD.spm",0,-1,-1
0,"SAKURAKO_0202AK","F_SAKURAKO_0202AK.png",2,-510,"SAKURAKO_0202AD.spm",1,-1,-1
0,"SAKURAKO_0202AS","F_SAKURAKO_0202AS.png",2,-510,"SAKURAKO_0202AD.spm",2,-1,-1
0,"SAKURAKO_0202AS2","F_SAKURAKO_0202AS2.png",2,-510,"SAKURAKO_0202AD.spm",3,-1,-1
0,"SAKURAKO_0202EG","F_SAKURAKO_0202EG.png",2,-510,"SAKURAKO_0202AD.spm",4,-1,-1
0,"SAKURAKO_0202EG2","F_SAKURAKO_0202EG2.png",2,-510,"SAKURAKO_0202AD.spm",5,-1,-1
0,"SAKURAKO_0202IK","F_SAKURAKO_0202IK.png",2,-510,"SAKURAKO_0202AD.spm",6,-1,-1
0,"SAKURAKO_0202IK2","F_SAKURAKO_0202IK2.png",2,-510,"SAKURAKO_0202AD.spm",7,-1,-1
0,"SAKURAKO_0202IK3","F_SAKURAKO_0202IK3.png",2,-510,"SAKURAKO_0202AD.spm",8,-1,-1
0,"SAKURAKO_0202IK4","F_SAKURAKO_0202IK4.png",2,-510,"SAKURAKO_0202AD.spm",9,-1,-1
0,"SAKURAKO_0202IK5","F_SAKURAKO_0202IK5.png",2,-510,"SAKURAKO_0202AD.spm",10,-1,-1
0,"SAKURAKO_0202IK6","F_SAKURAKO_0202IK6.png",2,-510,"SAKURAKO_0202AD.spm",11,-1,-1
0,"SAKURAKO_0202IK7","F_SAKURAKO_0202IK7.png",2,-510,"SAKURAKO_0202AD.spm",12,-1,-1
0,"SAKURAKO_0202IK8","F_SAKURAKO_0202IK8.png",2,-510,"SAKURAKO_0202AD.spm",13,-1,-1
0,"SAKURAKO_0202KB","F_SAKURAKO_0202KB.png",2,-510,"SAKURAKO_0202AD.spm",14,-1,-1
0,"SAKURAKO_0202KM","F_SAKURAKO_0202KM.png",2,-510,"SAKURAKO_0202AD.spm",15,-1,-1
0,"SAKURAKO_0202KM2","F_SAKURAKO_0202KM2.png",2,-510,"SAKURAKO_0202AD.spm",16,-1,-1
0,"SAKURAKO_0202KM3","F_SAKURAKO_0202KM3.png",2,-510,"SAKURAKO_0202AD.spm",17,-1,-1
0,"SAKURAKO_0202KM4","F_SAKURAKO_0202KM4.png",2,-510,"SAKURAKO_0202AD.spm",18,-1,-1
0,"SAKURAKO_0202KM5","F_SAKURAKO_0202KM5.png",2,-510,"SAKURAKO_0202AD.spm",19,-1,-1
0,"SAKURAKO_0202NO","F_SAKURAKO_0202NO.png",2,-510,"SAKURAKO_0202AD.spm",20,-1,-1
0,"SAKURAKO_0202NO2","F_SAKURAKO_0202NO2.png",2,-510,"SAKURAKO_0202AD.spm",21,-1,-1
0,"SAKURAKO_0202NO3","F_SAKURAKO_0202NO3.png",2,-510,"SAKURAKO_0202AD.spm",22,-1,-1
0,"SAKURAKO_0202NO4","F_SAKURAKO_0202NO4.png",2,-510,"SAKURAKO_0202AD.spm",23,-1,-1
0,"SAKURAKO_0202NO5","F_SAKURAKO_0202NO5.png",2,-510,"SAKURAKO_0202AD.spm",24,-1,-1
0,"SAKURAKO_0202NR","F_SAKURAKO_0202NR.png",2,-510,"SAKURAKO_0202AD.spm",25,-1,-1
0,"SAKURAKO_0202TR","F_SAKURAKO_0202TR.png",2,-510,"SAKURAKO_0202AD.spm",26,-1,-1
0,"SAKURAKO_0203AK","F_SAKURAKO_0203AK.png",-17,-510,"SAKURAKO_0203AK.spm",0,-1,-1
0,"SAKURAKO_0203BS","F_SAKURAKO_0203BS.png",-17,-510,"SAKURAKO_0203AK.spm",1,-1,-1
0,"SAKURAKO_0203FK","F_SAKURAKO_0203FK.png",-17,-510,"SAKURAKO_0203AK.spm",2,-1,-1
0,"SAKURAKO_0203FK2","F_SAKURAKO_0203FK2.png",-17,-510,"SAKURAKO_0203AK.spm",3,-1,-1
0,"SAKURAKO_0203IK","F_SAKURAKO_0203IK.png",-17,-510,"SAKURAKO_0203AK.spm",4,-1,-1
0,"SAKURAKO_0203IK2","F_SAKURAKO_0203IK2.png",-17,-510,"SAKURAKO_0203AK.spm",5,-1,-1
0,"SAKURAKO_0203IK3","F_SAKURAKO_0203IK3.png",-17,-510,"SAKURAKO_0203AK.spm",6,-1,-1
0,"SAKURAKO_0203KM","F_SAKURAKO_0203KM.png",-17,-510,"SAKURAKO_0203AK.spm",7,-1,-1
0,"SAKURAKO_0203KS","F_SAKURAKO_0203KS.png",-17,-510,"SAKURAKO_0203AK.spm",8,-1,-1
0,"SAKURAKO_0203KT","F_SAKURAKO_0203KT.png",-17,-510,"SAKURAKO_0203AK.spm",9,-1,-1
0,"SAKURAKO_0203NK","F_SAKURAKO_0203NK.png",-17,-510,"SAKURAKO_0203AK.spm",10,-1,-1
0,"SAKURAKO_0203NK2","F_SAKURAKO_0203NK2.png",-17,-510,"SAKURAKO_0203AK.spm",11,-1,-1
0,"SAKURAKO_0203NO","F_SAKURAKO_0203NO.png",-17,-510,"SAKURAKO_0203AK.spm",12,-1,-1
0,"SAKURAKO_0203NO2","F_SAKURAKO_0203NO2.png",-17,-510,"SAKURAKO_0203AK.spm",13,-1,-1
0,"SAKURAKO_0203NO3","F_SAKURAKO_0203NO3.png",-17,-510,"SAKURAKO_0203AK.spm",14,-1,-1
0,"SAKURAKO_0203NS","F_SAKURAKO_0203NS.png",-17,-510,"SAKURAKO_0203AK.spm",15,-1,-1
0,"SAKURAKO_A201AK","F_SAKURAKO_0201AK.png",5,-516,"SAKURAKO_A201AK.spm",0,-1,-1
0,"SAKURAKO_A201AK2","F_SAKURAKO_0201AK2.png",5,-516,"SAKURAKO_A201AK.spm",1,-1,-1
0,"SAKURAKO_A201AZ","F_SAKURAKO_0201AZ.png",5,-516,"SAKURAKO_A201AK.spm",2,-1,-1
0,"SAKURAKO_A201BE","F_SAKURAKO_0201BE.png",5,-516,"SAKURAKO_A201AK.spm",3,-1,-1
0,"SAKURAKO_A201BE2","F_SAKURAKO_0201BE2.png",5,-516,"SAKURAKO_A201AK.spm",4,-1,-1
0,"SAKURAKO_A201EG","F_SAKURAKO_0201EG.png",5,-516,"SAKURAKO_A201AK.spm",5,-1,-1
0,"SAKURAKO_A201KN","F_SAKURAKO_0201KN.png",5,-516,"SAKURAKO_A201AK.spm",6,-1,-1
0,"SAKURAKO_A201KS","F_SAKURAKO_0201KS.png",5,-516,"SAKURAKO_A201AK.spm",7,-1,-1
0,"SAKURAKO_A201KS2","F_SAKURAKO_0201KS2.png",5,-516,"SAKURAKO_A201AK.spm",8,-1,-1
0,"SAKURAKO_A201NK","F_SAKURAKO_0201NK.png",5,-516,"SAKURAKO_A201AK.spm",9,-1,-1
0,"SAKURAKO_A201NK2","F_SAKURAKO_0201NK2.png",5,-516,"SAKURAKO_A201AK.spm",10,-1,-1
0,"SAKURAKO_A201NK3","F_SAKURAKO_0201NK3.png",5,-516,"SAKURAKO_A201AK.spm",11,-1,-1
0,"SAKURAKO_A201NK4","F_SAKURAKO_0201NK4.png",5,-516,"SAKURAKO_A201AK.spm",12,-1,-1
0,"SAKURAKO_A201NO","F_SAKURAKO_0201NO.png",5,-516,"SAKURAKO_A201AK.spm",13,-1,-1
0,"SAKURAKO_A201NS","F_SAKURAKO_0201NS.png",5,-516,"SAKURAKO_A201AK.spm",14,-1,-1
0,"SAKURAKO_A201TR","F_SAKURAKO_0201TR.png",5,-516,"SAKURAKO_A201AK.spm",15,-1,-1
0,"SAKURAKO_A201TR2","F_SAKURAKO_0201TR2.png",5,-516,"SAKURAKO_A201AK.spm",16,-1,-1
0,"SAKURAKO_A201TR3","F_SAKURAKO_0201TR3.png",5,-516,"SAKURAKO_A201AK.spm",17,-1,-1
0,"SAKURAKO_A201TR4","F_SAKURAKO_0201TR4.png",5,-516,"SAKURAKO_A201AK.spm",18,-1,-1
0,"SAKURAKO_A202AD","F_SAKURAKO_0202AD.png",2,-510,"SAKURAKO_A202AD.spm",0,-1,-1
0,"SAKURAKO_A202AK","F_SAKURAKO_0202AK.png",2,-510,"SAKURAKO_A202AD.spm",1,-1,-1
0,"SAKURAKO_A202AS","F_SAKURAKO_0202AS.png",2,-510,"SAKURAKO_A202AD.spm",2,-1,-1
0,"SAKURAKO_A202AS2","F_SAKURAKO_0202AS2.png",2,-510,"SAKURAKO_A202AD.spm",3,-1,-1
0,"SAKURAKO_A202EG","F_SAKURAKO_0202EG.png",2,-510,"SAKURAKO_A202AD.spm",4,-1,-1
0,"SAKURAKO_A202EG2","F_SAKURAKO_0202EG2.png",2,-510,"SAKURAKO_A202AD.spm",5,-1,-1
0,"SAKURAKO_A202IK","F_SAKURAKO_0202IK.png",2,-510,"SAKURAKO_A202AD.spm",6,-1,-1
0,"SAKURAKO_A202IK2","F_SAKURAKO_0202IK2.png",2,-510,"SAKURAKO_A202AD.spm",7,-1,-1
0,"SAKURAKO_A202IK3","F_SAKURAKO_0202IK3.png",2,-510,"SAKURAKO_A202AD.spm",8,-1,-1
0,"SAKURAKO_A202IK4","F_SAKURAKO_0202IK4.png",2,-510,"SAKURAKO_A202AD.spm",9,-1,-1
0,"SAKURAKO_A202IK5","F_SAKURAKO_0202IK5.png",2,-510,"SAKURAKO_A202AD.spm",10,-1,-1
