"Int32","StringKey","StringKey","StringKey","String","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32"
4,"虎馬鹿","","","03桜子11",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"嘘","","","03桜子12",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"嫌桜","","","03桜子13",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"あたしの心がエマージェンシー","","","03桜子14",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"ウキウキウォッチング","","","03桜子15",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"大事な事","","","03桜子16",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"告白","","","03桜子17",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"画竜点睛","","","03桜子18",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"合否","","","03桜子19",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"もう離れない","","","03桜子20",0,-1,1,-1,-1,-1,-1,-1,-1,-1
5,"エピローグ～新しい日常、","","","03桜子21",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"ウワサの彼女","","","04勇樹01",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"彼女が髪を束ねたら","","","04勇樹02",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"クール系にもコス衣装","","","04勇樹03",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"クレープの王子様","","","04勇樹04",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"秋祭りの夜空","","","04勇樹05",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"不審少年","","","04勇樹06",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"Ｘマスプレゼントあげるよ","","","04勇樹07",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"備えあれば","","","04勇樹08",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"仮面カップル終了","","","04勇樹09",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"言わないお願い","","","04勇樹10",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"彼氏彼女","","","04勇樹11",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"君の愛情表現がわからない","","","04勇樹12",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"近づく２人、離れる２人","","","04勇樹13",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"一触即発","","","04勇樹14",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"彼女たちのやり方","","","04勇樹15",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"突然の別れ","","","04勇樹16",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"未練","","","04勇樹17",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"叱咤","","","04勇樹18",0,-1,2,-1,-1,-1,-1,-1,-1,-1
4,"１+１＝２以上","","","04勇樹19",0,-1,2,-1,-1,-1,-1,-1,-1,-1
5,"エピローグ～２人で","","","04勇樹20",0,-1,2,-1,-1,-1,-1,-1,-1,-1
11,"隠しきれない隠し事","","","05みい01",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"妹、買い出し中","","","05みい02",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"学園祭前夜～みいちゃん帰らず","","","05みい03A",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"学園祭は眠いよ","","","05みい03B",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"その犬、ユウ","","","05みい04",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"みいちゃん流おねだり","","","05みい05",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"雨上がりの青空に","","","05みい06",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"夜食べる","","","05みい07",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"カランコロンにご用心","","","05みい08",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"おかしい？","","","05みい09",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"悲しい初詣","","","05みい10",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"試験前夜","","","05みい11",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"合格発表","","","05みい12",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"意外？な告白","","","05みい13",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"比較対象","","","05みい14",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"理想的デート","","","05みい15",0,-1,3,-1,-1,-1,-1,-1,-1,-1
4,"妹卒業","","","05みい16",0,-1,3,-1,-1,-1,-1,-1,-1,-1
5,"エピローグ～これからも、ずっと","","","05みい17",0,-1,3,-1,-1,-1,-1,-1,-1,-1
11,"水も滴る傘の下","","","06要01",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"通勤ダッシュ","","","06要02",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"コスチュームテニスプレイヤー","","","06要03",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"つまみぐい","","","06要05",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"噛み合ってない","","","06要04",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"要さんの自宅探訪","","","06要06",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"今どきメール事情","","","06要07",0,-1,4,-1,-1,-1,-1,-1,-1,-1
11,"行きつけの名店","","","06要08",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"看病","","","06要09",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"見合って見合って","","","06要10",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"ディープ酒","","","06要11",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"逡巡","","","06要12",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"暴走自転車","","","06要13",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"壁に障子に","","","06要14",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"大人のフィールド","","","06要15",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"モラトリアム？","","","06要16",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"証明","","","06要17",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"同棲宣言","","","06要18",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"ピクニックブレーク","","","06要19",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"週末デート","","","06要20",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"初めてのお給料","","","06要21",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"疑惑","","","06要22",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"目撃証言","","","06要23",0,-1,4,-1,-1,-1,-1,-1,-1,-1
4,"責任無責任","","","06要24",0,-1,4,-1,-1,-1,-1,-1,-1,-1
5,"エピローグ～夏がくる","","","06要25",0,-1,4,-1,-1,-1,-1,-1,-1,-1
