"Ｐ≠ＮＰ予想","ぴーのっとねぬぴーよそう"
"アルゴリズム","あるごりずむ"
"電子肖像偽装条例","でんししょうぞうぎそうじょうれい"
"レベルキャップ","れべるぎゃっぷ"
"アクティブノイズキャンセラ","あくてぃぶのいずきゃんせら"
"『Hello, World!』","はろー、わーるど！"
"ファームウェア","ふぁーむうぇあ"
"ノージックの経験機械","のーじっくのけいけんきかい"
"踏み台サーバ","ふみだいさーば"
"エヴェレットの多世界解釈","えう゛ぇれっとのたせかいかいしゃく"
"ＰＩＳ細胞","ぴーあいえすさいぼう"
